organism_name
'Brassica napus' phytoplasma
'Camptotheca acuminata' phytoplasma
'Catharanthus roseus' aster yellows phytoplasma
'Chrysanthemum coronarium' phytoplasma
'Conium maculatum' witches'-broom phytoplasma
'Elaeagnus angustifolia' witches'-broom phytoplasma
'Osedax' symbiont bacterium Rs2_46_30_T18
'Prunus avium' virescence phytoplasma
'Prunus persica' phytoplasma PP2
'Santalum album' aster yellows phytoplasma
'Vigna radiata' phytoplasma
'Waltheria sp.' little leaf phytoplasma
Aaplasma endosymbiont of Hyalomma asiaticum
Abditibacteriia bacterium
Abditibacterium sp.
Abiotrophia defectiva
Abiotrophia defectiva ATCC 49176
Abiotrophia sp.
Abiotrophia sp. HMSC24B09
Absicoccus intestinalis
Absicoccus sp.
Absiella sp. AM09-45
Absiella sp. AM09-50
Absiella sp. AM10-20
Absiella sp. AM22-9
Absiella sp. AM27-20
Absiella sp. AM29-15
Absiella sp. AM54-8XD
Abyssibius sp.
Abyssisolibacter sp. ZYX002
Acanthopleuribacteraceae bacterium
Acaricomes phytoseiuli
Acaricomes phytoseiuli DSM 14247
Acaryochloridaceae cyanobacterium CSU_3_4
Acaryochloridaceae cyanobacterium CSU_5_19
Acaryochloridaceae cyanobacterium OTE_25_metabat_464
Acaryochloridaceae cyanobacterium OTE_75_metabat_521
Acaryochloridaceae cyanobacterium RL_2_7
Acaryochloridaceae cyanobacterium RU_4_10
Acaryochloridaceae cyanobacterium SU_2_1
Acaryochloridaceae cyanobacterium VAR_48_metabat_390
Acaryochloris marina MBIC10699
Acaryochloris marina NIES-2412
Acaryochloris sp. 'Moss Beach'
Acaryochloris sp. CCMEE 5410
Acaryochloris sp. CRU_2_0
Acaryochloris sp. IP29b_bin.137
Acaryochloris sp. IP29b_bin.148
Acaryochloris sp. IP29b_bin.176
Acaryochloris sp. RU_4_1
Acaryochloris sp. SU_5_25
Acaryochloris thomasi RCC1774
Acerihabitans sp.
Acerihabitans sp. KWT1480
Acerihabitans sp. TG2
Acetanaerobacterium sp.
Acetanaerobacterium sp. MSJ-12
Acetatifactor aquisgranensis
Acetatifactor sp. DFI.5.50
Aceticella sp. 75-bis
Acetivibrio alkalicellulosi
Acetivibrio cellulolyticus CD2
Acetivibrio clariflavus
Acetivibrio clariflavus 4-2a
Acetivibrio sp.
Acetivibrio sp. MSJd-27
Acetivibrio straminisolvens
Acetivibrio thermocellus
Acetivibrio thermocellus AD2
Acetivibrio thermocellus BC1
Acetivibrio thermocellus DSM 1313
Acetivibrio thermocellus DSM 2360
Acetivibrio thermocellus YS
Acetivibrionales bacterium
Acetoanaerobium sp.
Acetobacter aceti 1023
Acetobacter aceti ATCC 23746
Acetobacter aceti NRIC 0242
Acetobacter cerevisiae DSM 14362
Acetobacter cibinongensis NRIC 0482
Acetobacter estunensis NRIC 0472
Acetobacter fabarum DSM 19596
Acetobacter ghanensis DSM 18895
Acetobacter indonesiensis NRIC 0313
Acetobacter lovaniensis NRIC 0474
Acetobacter malorum DSM 14337
Acetobacter oeni LMG 21952
Acetobacter orientalis NRIC 0481
Acetobacter orleanensis JCM 7639
Acetobacter orleanensis NRIC 0473
Acetobacter papayae
Acetobacter pasteurianus
Acetobacter pasteurianus 386B
Acetobacter pasteurianus 3P3
Acetobacter pasteurianus IFO 3283-01
Acetobacter pasteurianus IFO 3283-01-42C
Acetobacter pasteurianus IFO 3283-03
Acetobacter pasteurianus IFO 3283-07
Acetobacter pasteurianus IFO 3283-12
Acetobacter pasteurianus IFO 3283-22
Acetobacter pasteurianus IFO 3283-26
Acetobacter pasteurianus IFO 3283-32
Acetobacter pasteurianus NBRC 101655
Acetobacter pasteurianus NBRC 3188
Acetobacter pasteurianus NBRC 3222
Acetobacter pasteurianus NBRC 3277
Acetobacter pasteurianus NBRC 3278
Acetobacter pasteurianus NBRC 3279
Acetobacter pasteurianus NBRC 3280
Acetobacter pasteurianus NBRC 3284
Acetobacter pasteurianus NBRC 3299
Acetobacter pasteurianus subsp. pasteurianus
Acetobacter peroxydans NBRC 13755
Acetobacter persici
Acetobacter pomorum DM001
Acetobacter pomorum DSM 11825
Acetobacter senegalensis DSM 18889
Acetobacter sp. 46_36
Acetobacter sp. A11-2
Acetobacter sp. AAB5
Acetobacter sp. AC2005
Acetobacter sp. AN02
Acetobacter sp. CAG:267
Acetobacter sp. CAG:977
Acetobacter sp. DmW_043
Acetobacter sp. DmW_125
Acetobacter sp. DmW_125123
Acetobacter sp. DmW_125124
Acetobacter sp. DmW_125126
Acetobacter sp. DmW_125127
Acetobacter sp. DmW_125128
Acetobacter sp. DmW_125129
Acetobacter sp. DmW_125130
Acetobacter sp. DmW_125131
Acetobacter sp. DmW_125132
