assembly_id,organism_name,is_fungi,match_method,genbank_group,assembly_level,genbank_assembly_accession,refseq_paired_assembly,genbank_organism_name
GCA_000359685.2,Pyrenochaeta sp. UM 256,Y,assembly_exact,fungi,Scaffold,GCA_000359685.2,na,Pyrenochaeta sp. UM 256
GCA_000733025.2,Penicillium nordicum,Y,assembly_versionless,fungi,Scaffold,GCA_000733025.3,na,Penicillium nordicum
GCA_000733645.1,Beauveria rudraprayagi,Y,assembly_exact,fungi,Contig,GCA_000733645.1,na,Beauveria rudraprayagi
GCA_000827315.1,Piloderma croceum,Y,assembly_exact,fungi,Scaffold,GCA_000827315.1,na,Piloderma croceum F 1598
GCA_000950635.1,Mrakia blollopis,Y,assembly_exact,fungi,Contig,GCA_000950635.1,na,Mrakia blollopis
GCA_001599115.1,[Candida] sorboxylosa,Y,assembly_exact,fungi,Scaffold,GCA_001599115.1,na,Pichia sorboxylosa
GCA_001630435.1,Sporothrix globosa,Y,assembly_exact,fungi,Scaffold,GCA_001630435.1,na,Sporothrix globosa
GCA_002946385.1,Rutstroemia sp. NJR-2017a WRK4,Y,assembly_exact,fungi,Contig,GCA_002946385.1,na,Rutstroemia sp. NJR-2017a WRK4
GCA_003116535.1,Paecilomyces niveus,Y,assembly_exact,fungi,Scaffold,GCA_003116535.1,na,Paecilomyces niveus
GCA_004114325.1,Zoophagus insidians,Y,assembly_exact,fungi,Scaffold,GCA_004114325.1,na,Zoophagus insidians
GCA_004156025.2,Alternaria gaisen,Y,assembly_exact,fungi,Contig,GCA_004156025.2,na,Alternaria gaisen
GCA_009805295.1,Neurospora sp. FGSC 6877,Y,assembly_exact,fungi,Scaffold,GCA_009805295.1,na,Neurospora sp. FGSC 6877
GCA_009938135.1,Malassezia furfur,Y,assembly_exact,fungi,Complete Genome,GCA_009938135.1,na,Malassezia furfur
GCA_012934285.1,Ophiocordyceps sinensis,Y,assembly_exact,fungi,Contig,GCA_012934285.1,na,Ophiocordyceps sinensis
GCA_014826065.1,Anthracocystis panici-leucophaei,Y,assembly_exact,fungi,Complete Genome,GCA_014826065.1,na,Anthracocystis panici-leucophaei
GCA_014964245.1,Nannizziopsis barbatae,Y,assembly_exact,fungi,Contig,GCA_014964245.1,na,Nannizziopsis barbatae
GCA_017139535.1,Trichocladium uniseriatum,Y,assembly_exact,fungi,Contig,GCA_017139535.1,na,Trichocladium uniseriatum
GCA_018417955.1,Laccaria trichodermophora,Y,assembly_exact,fungi,Scaffold,GCA_018417955.1,na,Laccaria trichodermophora
GCA_019188255.1,Verticillium longisporum,Y,assembly_exact,fungi,Scaffold,GCA_019188255.1,na,Verticillium longisporum
GCA_019327925.1,Leucocoprinus sp. KB1807203,Y,assembly_exact,fungi,Contig,GCA_019327925.1,na,Leucocoprinus sp. KB1807203
GCA_019431265.1,Saccharomyces bayanus,Y,assembly_exact,fungi,Complete Genome,GCA_019431265.1,na,Saccharomyces bayanus
GCA_019904355.1,Psilocybe tampanensis,Y,assembly_exact,fungi,Scaffold,GCA_019904355.1,na,Psilocybe tampanensis
GCA_022432505.1,Xylariales sp. AK1849,Y,assembly_exact,fungi,Contig,GCA_022432505.1,na,Xylariales sp. AK1849
GCA_022496195.1,Lactifluus subvellereus,Y,assembly_exact,fungi,Contig,GCA_022496195.1,na,Lactifluus subvellereus
GCA_022661535.1,Eutypa lata,Y,assembly_exact,fungi,Contig,GCA_022661535.1,na,Eutypa lata
GCA_022813745.1,Naganishia kalamii,Y,assembly_exact,fungi,Scaffold,GCA_022813745.1,na,Naganishia kalamii
GCA_023628275.1,Rhodotorula sp. M30-05A-2,Y,assembly_exact,fungi,Scaffold,GCA_023628275.1,na,Rhodotorula sp. M30-05A-2
GCA_024195185.1,Coniferiporia weirii,Y,assembly_exact,fungi,Scaffold,GCA_024195185.1,na,Coniferiporia weirii
GCA_025399235.1,Backusella circina,Y,assembly_exact,fungi,Scaffold,GCA_025399235.1,na,Backusella circina FSU 941
GCA_027578015.1,Coemansia sp. RSA 2618,Y,assembly_exact,fungi,Scaffold,GCA_027578015.1,na,Coemansia sp. RSA 2618
GCA_027579055.1,Coemansia interrupta,Y,assembly_exact,fungi,Scaffold,GCA_027579055.1,na,Coemansia interrupta
GCA_029299245.1,Leptographium wingfieldii,Y,assembly_exact,fungi,Scaffold,GCA_029299245.1,na,Leptographium wingfieldii
GCA_029945375.1,Agaricus subrufescens,Y,assembly_exact,fungi,Chromosome,GCA_029945375.1,na,Agaricus subrufescens
GCA_030168465.1,Pichia terricola,Y,assembly_exact,fungi,Complete Genome,GCA_030168465.1,na,Pichia terricola
GCA_030386735.1,Alternosema astaquatica,Y,assembly_exact,fungi,Contig,GCA_030386735.1,na,Alternosema astaquatica
GCA_030560905.1,Saturnispora diversa,Y,assembly_exact,fungi,Scaffold,GCA_030560905.1,na,Saturnispora diversa
GCA_030564885.1,Metschnikowia kofuensis (nom. inval.),Y,assembly_exact,fungi,Scaffold,GCA_030564885.1,na,Metschnikowia kofuensis (nom. inval.)
GCA_030568365.1,Myxozyma kluyveri,Y,assembly_exact,fungi,Scaffold,GCA_030568365.1,na,Myxozyma kluyveri
GCA_030570455.1,Priceomyces medius,Y,assembly_exact,fungi,Scaffold,GCA_030570455.1,na,Priceomyces medius
GCA_030570535.1,Starmera pachycereana,Y,assembly_exact,fungi,Scaffold,GCA_030570535.1,na,Starmera pachycereana
GCA_030572295.1,[Candida] multigemmis,Y,assembly_exact,fungi,Scaffold,GCA_030572295.1,na,Glucitozyma multigemmis
GCA_030572435.1,Candida labiduridarum,Y,assembly_exact,fungi,Scaffold,GCA_030572435.1,na,Candida labiduridarum
GCA_030581595.1,[Candida] blattariae,Y,assembly_exact,fungi,Scaffold,GCA_030581595.1,na,[Candida] blattariae
GCA_031081805.1,Schwanniomyces etchellsii,Y,assembly_exact,fungi,Scaffold,GCA_031081805.1,na,Schwanniomyces etchellsii
GCA_031125595.1,Saccharomycopsis capsularis,Y,assembly_exact,fungi,Scaffold,GCA_031125595.1,na,Saccharomycopsis capsularis
GCA_031753515.1,Metarhizium rileyi,Y,assembly_exact,fungi,Contig,GCA_031753515.1,na,Metarhizium rileyi
GCA_036250105.1,Parasarocladium wereldwijsianum,Y,assembly_exact,fungi,Scaffold,GCA_036250105.1,na,Parasarocladium wereldwijsianum
GCA_036936985.1,Crucibulum cyathiforme,Y,assembly_exact,fungi,Scaffold,GCA_036936985.1,na,Crucibulum cyathiforme
GCA_038094095.1,Boletus putidus,Y,assembly_exact,fungi,Scaffold,GCA_038094095.1,na,Boletus putidus
GCA_039634435.1,Ascochyta pisi,Y,assembly_exact,fungi,Complete Genome,GCA_039634435.1,na,Ascochyta pisi
GCA_900074885.1,Rhynchosporium graminicola,Y,name_exact,fungi,,,,Rhynchosporium graminicola
GCF_000151335.2,Coccidioides posadasii,Y,assembly_exact,fungi,Contig,GCA_000151335.1,GCF_000151335.2,Coccidioides posadasii C735 delta SOWgp
GCF_000313485.1,Wickerhamomyces ciferrii,Y,assembly_exact,fungi,Contig,GCA_000313485.1,GCF_000313485.1,Wickerhamomyces ciferrii
GCF_000836275.1,Exophiala mesophila,Y,assembly_exact,fungi,Scaffold,GCA_000836275.1,GCF_000836275.1,Exophiala mesophila
GCF_016647745.1,Suillus plorans,Y,assembly_exact,fungi,Contig,GCA_016647745.1,GCF_016647745.1,Suillus plorans
GCF_016647785.1,Suillus fuscotomentosus,Y,assembly_exact,fungi,Contig,GCA_016647785.1,GCF_016647785.1,Suillus fuscotomentosus
GCF_019321695.1,Diaporthe batatas,Y,assembly_exact,fungi,Contig,GCA_019321695.1,GCF_019321695.1,Diaporthe batatas
GCF_020137385.1,Morchella sextelata,Y,assembly_exact,fungi,Contig,GCA_020137385.1,GCF_020137385.1,Morchella sextelata
GCF_020744255.1,Microdochium trichocladiopsis,Y,assembly_exact,fungi,Contig,GCA_020744255.1,GCF_020744255.1,Microdochium trichocladiopsis
GCF_026914185.1,Puccinia triticina,Y,assembly_exact,fungi,Complete Genome,GCA_026914185.1,GCF_026914185.1,Puccinia triticina
GCF_030867565.1,Colletotrichum costaricense,Y,assembly_exact,fungi,Scaffold,GCA_030867565.1,GCF_030867565.1,Colletotrichum costaricense
GCA_000291705.1,Sphaerulina populicola,Y,assembly_exact,fungi,Scaffold,GCA_000291705.1,na,Sphaerulina populicola P02.02b
GCA_000507405.3,Kwoniella heveanensis,Y,assembly_exact,fungi,Scaffold,GCA_000507405.3,na,Kwoniella heveanensis BCC8398
GCA_001557505.1,Reticulascus tulasneorum,Y,assembly_exact,fungi,Contig,GCA_001557505.1,na,Reticulascus tulasneorum
GCA_001600675.1,Millerozyma acaciae,Y,assembly_exact,fungi,Scaffold,GCA_001600675.1,na,Millerozyma acaciae
GCA_001983365.1,Amanita bisporigera,Y,assembly_exact,fungi,Scaffold,GCA_001983365.1,na,Amanita bisporigera
GCA_002077065.1,Cryoendolithus antarcticus,Y,assembly_exact,fungi,Scaffold,GCA_002077065.1,na,Cryoendolithus antarcticus
GCA_002092955.1,Auricularia auricula-judae,Y,assembly_exact,fungi,Scaffold,GCA_002092955.1,na,Auricularia auricula-judae
GCA_002370765.1,Metschnikowia similis,Y,assembly_exact,fungi,Scaffold,GCA_002370765.1,na,Metschnikowia similis
GCA_003313715.1,Russula abietina,Y,assembly_exact,fungi,Scaffold,GCA_003313715.1,na,Russula abietina
GCA_003708715.3,[Candida] wancherniae,Y,assembly_exact,fungi,Contig,GCA_003708715.3,na,[Candida] wancherniae
GCA_004126415.1,Candolleomyces aberdarensis,Y,assembly_exact,fungi,Contig,GCA_004126415.1,na,Candolleomyces aberdarensis
GCA_004303015.1,Cladobotryum protrusum,Y,assembly_exact,fungi,Contig,GCA_004303015.1,na,Cladobotryum protrusum
GCA_006535965.1,Spizellomyces sp. 'palustris',Y,assembly_exact,fungi,Scaffold,GCA_006535965.1,na,Spizellomyces sp. 'palustris'
GCA_007113905.1,Teratosphaeria zuluensis,Y,assembly_exact,fungi,Contig,GCA_007113905.1,na,Teratosphaeria zuluensis
GCA_010577765.1,Malassezia slooffiae,Y,assembly_exact,fungi,Contig,GCA_010577765.1,na,Malassezia slooffiae
GCA_011426275.1,Dactylonectria torresensis,Y,assembly_exact,fungi,Contig,GCA_011426275.1,na,Dactylonectria torresensis
GCA_013177335.1,Apiotrichum mycotoxinovorans,Y,assembly_exact,fungi,Complete Genome,GCA_013177335.1,na,Apiotrichum mycotoxinovorans
GCA_013365045.1,Geotrichum candidum,Y,assembly_exact,fungi,Scaffold,GCA_013365045.1,na,Geotrichum candidum
GCA_018360065.1,Claviceps pazoutovae,Y,assembly_exact,fungi,Contig,GCA_018360065.1,na,Claviceps pazoutovae
GCA_018804115.1,Lipomyces starkeyi,Y,assembly_exact,fungi,Contig,GCA_018804115.1,na,Lipomyces starkeyi
GCA_019395245.1,Botrytis pseudocinerea,Y,assembly_exact,fungi,Contig,GCA_019395245.1,na,Botrytis pseudocinerea
GCA_019775285.1,Cystobasidium slooffiae,Y,assembly_exact,fungi,Scaffold,GCA_019775285.1,na,Cystobasidium slooffiae
GCA_021399475.1,Hyaloscypha finlandica,Y,assembly_exact,fungi,Contig,GCA_021399475.1,na,Hyaloscypha finlandica
GCA_023625935.1,Eurotiales sp. R13A2,Y,assembly_exact,fungi,Scaffold,GCA_023625935.1,na,Eurotiales sp. R13A2
GCA_025528855.1,Trametes punicea,Y,assembly_exact,fungi,Contig,GCA_025528855.1,na,Trametes punicea
GCA_026538415.1,Cryptococcus sp. GC_Crypt_1,Y,assembly_exact,fungi,Contig,GCA_026538415.1,na,Cryptococcus sp. GC_Crypt_1
GCA_027576935.1,Dimargaris verticillata,Y,assembly_exact,fungi,Scaffold,GCA_027576935.1,na,Dimargaris verticillata
GCA_027579465.1,Coemansia sp. RSA 1878,Y,assembly_exact,fungi,Scaffold,GCA_027579465.1,na,Coemansia sp. RSA 1878
GCA_027603065.1,Geranomyces variabilis,Y,assembly_exact,fungi,Scaffold,GCA_027603065.1,na,Geranomyces variabilis
GCA_027604405.1,Kappamyces sp. JEL0680,Y,assembly_exact,fungi,Scaffold,GCA_027604405.1,na,Kappamyces sp. JEL0680
GCA_028827885.1,Penicillium sp. IBT 31633x,Y,assembly_exact,fungi,Contig,GCA_028827885.1,na,Penicillium sp. IBT 31633x
GCA_029747595.1,Trametes cubensis,Y,assembly_exact,fungi,Scaffold,GCA_029747595.1,na,Trametes cubensis
GCA_030407185.1,Lipomyces yarrowii,Y,assembly_exact,fungi,Scaffold,GCA_030407185.1,na,Lipomyces yarrowii
GCA_030558275.1,[Candida] palmyrensis,Y,assembly_exact,fungi,Scaffold,GCA_030558275.1,na,Chernovozyma palmyrensis
GCA_030560825.1,[Candida] fluviatilis,Y,assembly_exact,fungi,Contig,GCA_030560825.1,na,Suzukiozyma fluviatilis
GCA_030561705.1,Wickerhamomyces sp. yHQL14,Y,assembly_exact,fungi,Scaffold,GCA_030561705.1,na,Wickerhamomyces sp. yHQL14
GCA_030566855.1,Tortispora sangerardonensis,Y,assembly_exact,fungi,Scaffold,GCA_030566855.1,na,Tortispora sangerardonensis
GCA_030570555.1,Sugiyamaella valdiviana,Y,assembly_exact,fungi,Contig,GCA_030570555.1,na,Sugiyamaella valdiviana
GCA_030571075.1,Yamadazyma endophytica,Y,assembly_exact,fungi,Scaffold,GCA_030571075.1,na,Yamadazyma endophytica
GCA_030580275.1,Groenewaldozyma sp. yHMH443,Y,assembly_exact,fungi,Scaffold,GCA_030580275.1,na,Groenewaldozyma sp. yHMH443
GCA_030867685.1,Wickerhamiella versatilis,Y,assembly_exact,fungi,Scaffold,GCA_030867685.1,na,Wickerhamiella versatilis
GCA_032164295.1,Inonotus obliquus,Y,assembly_exact,fungi,Contig,GCA_032164295.1,na,Inonotus obliquus
GCA_037356095.1,Xylaria sp. Z21,Y,assembly_exact,fungi,Contig,GCA_037356095.1,na,Xylaria sp. Z21
GCA_038088935.1,Pulveroboletus aff. viridisquamosus,Y,assembly_exact,fungi,Scaffold,GCA_038088935.1,na,Pulveroboletus aff. viridisquamosus
GCA_038090535.1,Tylopilus alboater,Y,assembly_exact,fungi,Scaffold,GCA_038090535.1,na,Tylopilus alboater
GCA_038091115.1,Rubroboletus rhodosanguineus,Y,assembly_exact,fungi,Scaffold,GCA_038091115.1,na,Rubroboletus rhodosanguineus
GCA_038091455.1,Leccinum uliginosum,Y,assembly_exact,fungi,Scaffold,GCA_038091455.1,na,Leccinum uliginosum
GCA_038091555.1,Leccinum sublutescens,Y,assembly_exact,fungi,Scaffold,GCA_038091555.1,na,Leccinum sublutescens
GCA_038092035.1,Leccinum disarticulatum,Y,assembly_exact,fungi,Scaffold,GCA_038092035.1,na,Leccinum disarticulatum
GCA_038093875.1,Boletus tylopilopsis,Y,assembly_exact,fungi,Scaffold,GCA_038093875.1,na,Boletus tylopilopsis
GCA_038502285.1,Trichoderma sp. 2475,Y,assembly_exact,fungi,Contig,GCA_038502285.1,na,Trichoderma sp. 2475
GCF_000732125.1,Scedosporium apiospermum,Y,assembly_exact,fungi,Scaffold,GCA_000732125.1,GCF_000732125.1,Scedosporium apiospermum
GCF_023758015.1,Alternaria viburni,Y,assembly_exact,fungi,Scaffold,GCA_023758015.1,GCF_023758015.1,Alternaria viburni
GCA_000787475.1,Lentinus polychrous,Y,assembly_exact,fungi,Contig,GCA_000787475.1,na,Lentinus polychrous
GCA_000836255.1,Dothideomycetidae sp. 11243,Y,assembly_exact,fungi,Scaffold,GCA_000836255.1,na,Dothideomycetidae sp. 11243
GCA_002105455.1,Spathaspora xylofermentans,Y,assembly_exact,fungi,Scaffold,GCA_002105455.1,na,Hemisphaericaspora xylofermentans
GCA_002116395.1,Ramularia endophylla,Y,assembly_exact,fungi,Scaffold,GCA_002116395.1,na,Ramularia endophylla
GCA_002157025.1,Melampsora abietis-canadensis,Y,assembly_exact,fungi,Scaffold,GCA_002157025.1,na,Melampsora abietis-canadensis
GCA_002157085.1,Melampsora occidentalis,Y,assembly_exact,fungi,Scaffold,GCA_002157085.1,na,Melampsora occidentalis
GCA_002554575.1,Amanita thiersii,Y,assembly_exact,fungi,Scaffold,GCA_002554575.1,na,Amanita thiersii Skay4041
GCA_002989075.1,Arthonia radiata,Y,assembly_exact,fungi,Scaffold,GCA_002989075.1,na,Arthonia radiata
GCA_003706195.2,Ogataea minuta,Y,assembly_exact,fungi,Contig,GCA_003706195.2,na,Ogataea minuta
GCA_003706315.3,Ambrosiozyma oregonensis (nom. inval.),Y,assembly_exact,fungi,Scaffold,GCA_003706315.3,na,Ambrosiozyma oregonensis (nom. inval.)
GCA_003706575.2,Teunomyces cretensis,Y,assembly_exact,fungi,Scaffold,GCA_003706575.2,na,Teunomyces cretensis
GCA_003707215.2,Phaffomyces thermotolerans,Y,assembly_exact,fungi,Scaffold,GCA_003707215.2,na,Phaffomyces thermotolerans
GCA_003708525.3,Monosporozyma unispora,Y,assembly_exact,fungi,Scaffold,GCA_003708525.3,na,Monosporozyma unispora
GCA_003717155.1,Protomyces inouyei,Y,assembly_exact,fungi,Contig,GCA_003717155.1,na,Protomyces inouyei
GCA_006506795.2,Hericium erinaceus,Y,assembly_exact,fungi,Chromosome,GCA_006506795.2,na,Hericium erinaceus
GCA_010583015.1,Tothia fuscella,Y,assembly_exact,fungi,Scaffold,GCA_010583015.1,na,Tothia fuscella
GCA_015345905.1,Aotearoamyces nothofagi,Y,assembly_exact,fungi,Scaffold,GCA_015345905.1,na,Aotearoamyces nothofagi
GCA_019285895.1,Metschnikowia australis,Y,assembly_exact,fungi,Scaffold,GCA_019285895.1,na,Metschnikowia australis
GCA_019775275.1,Penicillium sp. VS AB III KN,Y,assembly_exact,fungi,Scaffold,GCA_019775275.1,na,Penicillium sp. VS AB III KN
GCA_020272525.1,Epicoccum sorghinum,Y,assembly_exact,fungi,Contig,GCA_020272525.1,na,Epicoccum sorghinum
GCA_020543525.1,Coriolopsis trogii,Y,assembly_exact,fungi,Contig,GCA_020543525.1,na,Coriolopsis trogii
GCA_020995425.1,Cyberlindnera sargentensis,Y,assembly_exact,fungi,Chromosome,GCA_020995425.1,na,Williopsis sargentensis
GCA_022495125.1,Xylaria acuta,Y,assembly_exact,fungi,Scaffold,GCA_022495125.1,na,Xylaria acuta
GCA_022695795.1,Biscogniauxia marginata,Y,assembly_exact,fungi,Scaffold,GCA_022695795.1,na,Biscogniauxia marginata
GCA_022963115.1,Ustilago tritici,Y,assembly_exact,fungi,Contig,GCA_022963115.1,na,Ustilago tritici
GCA_024516245.1,Peziza echinospora,Y,assembly_exact,fungi,Contig,GCA_024516245.1,na,Peziza echinospora
GCA_027577175.1,Coemansia sp. S146,Y,assembly_exact,fungi,Scaffold,GCA_027577175.1,na,Coemansia sp. S146
GCA_027946425.1,Neurospora sp. IMI 360204,Y,assembly_exact,fungi,Contig,GCA_027946425.1,na,Neurospora sp. IMI 360204
GCA_029298845.1,Ophiostoma perfectum,Y,assembly_exact,fungi,Scaffold,GCA_029298845.1,na,Ophiostoma perfectum
GCA_030557105.1,Candida frijolesensis,Y,assembly_exact,fungi,Scaffold,GCA_030557105.1,na,Candida frijolesensis
GCA_030564385.1,Blastobotrys robertii,Y,assembly_exact,fungi,Scaffold,GCA_030564385.1,na,Blastobotrys robertii
GCA_030566975.1,Starmerella potacharoeniae,Y,assembly_exact,fungi,Scaffold,GCA_030566975.1,na,Entelexis potacharoeniae
GCA_030566995.1,Sungouiella tsuchiyae,Y,assembly_exact,fungi,Scaffold,GCA_030566995.1,na,Sungouiella tsuchiyae
GCA_030567495.1,Ambrosiozyma neoplatypodis,Y,assembly_exact,fungi,Scaffold,GCA_030567495.1,na,Ambrosiozyma neoplatypodis
GCA_030568615.1,Suhomyces bokatorum,Y,assembly_exact,fungi,Contig,GCA_030568615.1,na,Suhomyces bokatorum
GCA_030572815.1,Starmerella asiatica,Y,assembly_exact,fungi,Scaffold,GCA_030572815.1,na,Starmerella asiatica
GCA_030574455.1,Priceomyces fermenticarens,Y,assembly_exact,fungi,Scaffold,GCA_030574455.1,na,Priceomyces fermenticarens
GCA_030574895.1,[Candida] insectorum,Y,assembly_exact,fungi,Contig,GCA_030574895.1,na,[Candida] insectorum
GCA_031125455.1,Saccharomycopsis microspora,Y,assembly_exact,fungi,Scaffold,GCA_031125455.1,na,Saccharomycopsis microspora
GCA_031590215.1,Maudiozyma bulderi,Y,assembly_exact,fungi,Chromosome,GCA_031590215.1,na,Maudiozyma bulderi
GCA_033182465.1,Sanghuangporus weigelae,Y,assembly_exact,fungi,Complete Genome,GCA_033182465.1,na,Sanghuangporus weigelae
GCA_035927975.1,Rachicladosporium monterosium,Y,assembly_exact,fungi,Scaffold,GCA_035927975.1,na,Rachicladosporium monterosium
GCA_036785755.1,Colletotrichum ledebouriae,Y,assembly_exact,fungi,Contig,GCA_036785755.1,na,Colletotrichum ledebouriae
GCA_037040375.1,Basipetospora sp. M8501,Y,assembly_exact,fungi,Scaffold,GCA_037040375.1,na,Basipetospora sp. M8501
GCA_038089175.1,Binderoboletus segoi,Y,assembly_exact,fungi,Scaffold,GCA_038089175.1,na,Binderoboletus segoi
GCA_038092055.1,Leccinum glutinopallens,Y,assembly_exact,fungi,Scaffold,GCA_038092055.1,na,Leccinum glutinopallens
GCA_038092235.1,Leccinum boreale,Y,assembly_exact,fungi,Scaffold,GCA_038092235.1,na,Leccinum boreale
GCA_038382165.1,Ceratocystis alfenasii,Y,assembly_exact,fungi,Contig,GCA_038382165.1,na,Ceratocystis alfenasii
GCA_911197225.1,Penicillium salamii,Y,name_exact,fungi,,,,Penicillium salamii
GCF_000226545.1,Podospora anserina,Y,assembly_exact,fungi,Scaffold,GCA_000226545.1,GCF_000226545.1,Podospora anserina S mat+
GCF_000271645.1,Tremella mesenterica,Y,assembly_exact,fungi,Scaffold,GCA_000271645.1,GCF_000271645.1,Tremella mesenterica DSM 1558
GCF_001890905.1,Aspergillus aculeatus,Y,assembly_exact,fungi,Scaffold,GCA_001890905.1,GCF_001890905.1,Aspergillus aculeatus ATCC 16872
GCF_003013735.1,Candidozyma pseudohaemuli,Y,assembly_exact,fungi,Scaffold,GCA_003013735.1,GCF_003013735.1,Candidozyma pseudohaemuli
GCF_009556855.1,Talaromyces marneffei,Y,assembly_exact,fungi,Complete Genome,GCA_009556855.1,GCF_009556855.1,Talaromyces marneffei
GCA_000222875.2,Periglandula ipomoeae,Y,assembly_exact,fungi,Contig,GCA_000222875.2,na,Periglandula ipomoeae IasaF13
GCA_000934385.1,Cylindrobasidium torrendii,Y,assembly_exact,fungi,Scaffold,GCA_000934385.1,na,Cylindrobasidium torrendii FP15055 ss-10
GCA_001599595.1,Beverwykella pulmonaria,Y,assembly_exact,fungi,Scaffold,GCA_001599595.1,na,Beverwykella pulmonaria
GCA_002236755.2,Dothistroma septosporum,Y,assembly_exact,fungi,Scaffold,GCA_002236755.2,na,Dothistroma septosporum
GCA_002851755.1,Verticillium zaregamsianum,Y,assembly_exact,fungi,Scaffold,GCA_002851755.1,na,Verticillium zaregamsianum
GCA_002916415.1,Talaromyces borbonicus,Y,assembly_exact,fungi,Scaffold,GCA_002916415.1,na,Talaromyces borbonicus
GCA_003705185.2,Ambrosiozyma ambrosiae,Y,assembly_exact,fungi,Scaffold,GCA_003705185.2,na,Ambrosiozyma ambrosiae
GCA_003706695.3,[Candida] incommunis,Y,assembly_exact,fungi,Scaffold,GCA_003706695.3,na,Limtongella incommunis
GCA_004016185.1,Quambalaria eucalypti,Y,assembly_exact,fungi,Contig,GCA_004016185.1,na,Quambalaria eucalypti
GCA_010093635.1,Massarina eburnea,Y,assembly_exact,fungi,Scaffold,GCA_010093635.1,na,Massarina eburnea CBS 473.64
GCA_010405375.1,Lophiostoma macrostomum,Y,assembly_exact,fungi,Scaffold,GCA_010405375.1,na,Lophiostoma macrostomum CBS 122681
GCA_013266265.1,Fusarium sp. NRRL 66182,Y,assembly_exact,fungi,Scaffold,GCA_013266265.1,na,Fusarium sp. NRRL 66182
GCA_015178925.1,Russula emetica,Y,assembly_exact,fungi,Contig,GCA_015178925.1,na,Russula emetica
GCA_015501065.1,Infundibulicybe gibba,Y,assembly_exact,fungi,Contig,GCA_015501065.1,na,Infundibulicybe gibba
GCA_017580835.1,Termitomyces bulborhizus,Y,assembly_exact,fungi,Scaffold,GCA_017580835.1,na,Termitomyces bulborhizus
GCA_017657375.1,Termitomyces sp. T27,Y,assembly_exact,fungi,Scaffold,GCA_017657375.1,na,Termitomyces sp. T27
GCA_018221785.1,Calocybe gangraenosa,Y,assembly_exact,fungi,Scaffold,GCA_018221785.1,na,Calocybe gangraenosa
GCA_018221805.1,Rugosomyces carneus,Y,assembly_exact,fungi,Scaffold,GCA_018221805.1,na,Rugosomyces carneus
GCA_019232045.1,Ogataea degrootiae,Y,assembly_exact,fungi,Scaffold,GCA_019232045.1,na,Ogataea degrootiae
GCA_022059125.1,Corynespora cassiicola,Y,assembly_exact,fungi,Scaffold,GCA_022059125.1,na,Corynespora cassiicola
GCA_022560085.1,Helminthosporium solani,Y,assembly_exact,fungi,Scaffold,GCA_022560085.1,na,Helminthosporium solani
GCA_023628935.1,Zygoascus sp. PK3305,Y,assembly_exact,fungi,Scaffold,GCA_023628935.1,na,Zygoascus sp. PK3305
GCA_024721195.1,Marasmius sp. AFHP31,Y,assembly_exact,fungi,Scaffold,GCA_024721195.1,na,Marasmius sp. AFHP31
GCA_027406005.1,Colletotrichum horii,Y,assembly_exact,fungi,Contig,GCA_027406005.1,na,Colletotrichum horii
GCA_027576995.1,Dimargaris cristalligena,Y,assembly_exact,fungi,Scaffold,GCA_027576995.1,na,Dimargaris cristalligena
GCA_027577275.1,Coemansia sp. RSA 988,Y,assembly_exact,fungi,Scaffold,GCA_027577275.1,na,Coemansia sp. RSA 988
GCA_028456235.1,Ophiosphaerella narmari,Y,assembly_exact,fungi,Contig,GCA_028456235.1,na,Ophiosphaerella narmari
GCA_029606265.1,Paecilomyces dactylethromorphus,Y,assembly_exact,fungi,Scaffold,GCA_029606265.1,na,Paecilomyces dactylethromorphus
GCA_029844175.1,Trichoderma sp. CBMAI-0179,Y,assembly_exact,fungi,Contig,GCA_029844175.1,na,Trichoderma sp. CBMAI-0179
GCA_029906385.1,Neofusicoccum laricinum,Y,assembly_exact,fungi,Chromosome,GCA_029906385.1,na,Neofusicoccum laricinum
GCA_030142105.1,Fusarium sp. FL617,Y,assembly_exact,fungi,Contig,GCA_030142105.1,na,Fusarium sp. FL617
GCA_030564765.1,Saccharomycopsis sp. NRRL Y-5750,Y,assembly_exact,fungi,Scaffold,GCA_030564765.1,na,Saccharomycopsis sp. NRRL Y-5750
GCA_030572275.1,[Candida] conglobata,Y,assembly_exact,fungi,Contig,GCA_030572275.1,na,[Candida] conglobata
GCA_030572315.1,[Candida] glucosophila,Y,assembly_exact,fungi,Scaffold,GCA_030572315.1,na,[Candida] glucosophila
GCA_030574775.1,Yamadazyma atmosphaerica,Y,assembly_exact,fungi,Scaffold,GCA_030574775.1,na,Yamadazyma atmosphaerica
GCA_030579255.1,Kazachstania psychrophila,Y,assembly_exact,fungi,Scaffold,GCA_030579255.1,na,Kazachstania psychrophila
GCA_030580555.1,Hanseniaspora taiwanica (nom. inval.),Y,assembly_exact,fungi,Scaffold,GCA_030580555.1,na,Hanseniaspora taiwanica (nom. inval.)
GCA_030779245.1,Fusarium sp. MBC 438,Y,assembly_exact,fungi,Contig,GCA_030779245.1,na,Fusarium sp. MBC 438
GCA_033220425.1,Lepraria neglecta,Y,assembly_exact,fungi,Chromosome,GCA_033220425.1,na,Lepraria neglecta
GCA_034509305.1,Aspergillus cristatus,Y,assembly_exact,fungi,Contig,GCA_034509305.1,na,Aspergillus cristatus
