assembly_id,organism_name,is_fungi,match_method,genbank_group,assembly_level,genbank_assembly_accession,refseq_paired_assembly,genbank_organism_name
GCA_030567455.1,[Candida] norvegica,Y,assembly_exact,fungi,Scaffold,GCA_030567455.1,na,Komagataea norvegica
GCA_030567755.1,Nakazawaea pomicola,Y,assembly_exact,fungi,Scaffold,GCA_030567755.1,na,Nakazawaea pomicola
GCA_030568675.1,Suhomyces xylopsoci,Y,assembly_exact,fungi,Scaffold,GCA_030568675.1,na,Suhomyces xylopsoci
GCA_030568875.1,Sungouiella flosculorum,Y,assembly_exact,fungi,Scaffold,GCA_030568875.1,na,Sungouiella flosculorum
GCA_030569455.1,Australozyma saccharicola,Y,assembly_exact,fungi,Scaffold,GCA_030569455.1,na,Australozyma saccharicola
GCA_030574955.1,Teunomyces lycoperdinae,Y,assembly_exact,fungi,Contig,GCA_030574955.1,na,Teunomyces lycoperdinae
GCA_032595095.1,Didymellaceae sp. YAFEF048,Y,assembly_exact,fungi,Scaffold,GCA_032595095.1,na,Didymellaceae sp. YAFEF048
GCA_032927745.1,Schwanniomyces capriottii,Y,assembly_exact,fungi,Contig,GCA_032927745.1,na,Schwanniomyces capriottii
GCA_033117895.1,Extremus antarcticus,Y,assembly_exact,fungi,Scaffold,GCA_033117895.1,na,Extremus antarcticus
GCA_947297635.1,[Candida] aaseri,Y,name_exact,fungi,,,,[Candida] aaseri
GCF_000091225.2,Encephalitozoon cuniculi,Y,assembly_exact,fungi,Chromosome,GCA_000091225.2,GCF_000091225.2,Encephalitozoon cuniculi GB-M1
GCF_000182565.1,Spizellomyces punctatus,Y,assembly_exact,fungi,Scaffold,GCA_000182565.2,GCF_000182565.1,Spizellomyces punctatus DAOM BR117
GCF_001619985.1,Xylona heveae,Y,assembly_exact,fungi,Scaffold,GCA_001619985.1,GCF_001619985.1,Xylona heveae TC161
GCF_028827265.1,Penicillium atrosanguineum,Y,assembly_exact,fungi,Contig,GCA_028827265.1,GCF_028827265.1,Penicillium atrosanguineum
GCA_000836175.1,Taphrina flavorubra,Y,assembly_exact,fungi,Scaffold,GCA_000836175.1,na,Taphrina flavorubra JCM 22207
GCA_001305505.1,Neonectria ditissima,Y,assembly_exact,fungi,Scaffold,GCA_001305505.1,na,Neonectria ditissima
GCA_001455915.2,Samsoniella hepiali,Y,assembly_exact,fungi,Scaffold,GCA_001455915.2,na,Samsoniella hepiali
GCA_001553865.1,Cladosporium sp. BSL10,Y,assembly_exact,fungi,Contig,GCA_001553865.1,na,Cladosporium sp. BSL10
GCA_001661515.1,Capniomyces stellatus,Y,assembly_exact,fungi,Scaffold,GCA_001661515.1,na,Capniomyces stellatus
GCA_002116315.1,Epicoccum nigrum,Y,assembly_exact,fungi,Scaffold,GCA_002116315.1,na,Epicoccum nigrum
GCA_002116345.1,Mycosphaerella sp. PB-2012b,Y,assembly_exact,fungi,Scaffold,GCA_002116345.1,na,Mycosphaerella sp. PB-2012b Mex 2-1-2
GCA_002221725.1,Scedosporium boydii,Y,assembly_exact,fungi,Contig,GCA_002221725.1,na,Scedosporium boydii
GCA_002370795.1,Metschnikowia sp. 03-147.1,Y,assembly_exact,fungi,Scaffold,GCA_002370795.1,na,Metschnikowia sp. 03-147.1
GCA_003313185.1,Collybia sp. MG36,Y,assembly_exact,fungi,Scaffold,GCA_003313185.1,na,Collybia sp. MG36
GCA_003315895.1,Lactifluus rugatus,Y,assembly_exact,fungi,Scaffold,GCA_003315895.1,na,Lactifluus rugatus
GCA_003705895.2,Lipomyces japonicus,Y,assembly_exact,fungi,Scaffold,GCA_003705895.2,na,Lipomyces japonicus
GCA_003988815.1,Chlorencoelia australis,Y,assembly_exact,fungi,Scaffold,GCA_003988815.1,na,Chlorencoelia australis
GCA_008065175.1,Metschnikowia caudata,Y,assembly_exact,fungi,Scaffold,GCA_008065175.1,na,Metschnikowia caudata
GCA_009746055.1,Metschnikowia pulcherrima,Y,assembly_exact,fungi,Contig,GCA_009746055.1,na,Metschnikowia pulcherrima
GCA_013433165.1,Hypsizygus marmoreus,Y,assembly_exact,fungi,Chromosome,GCA_013433165.1,na,Hypsizygus marmoreus
GCA_013620735.1,Clavariopsis aquatica,Y,assembly_exact,fungi,Scaffold,GCA_013620735.1,na,Clavariopsis aquatica
GCA_013842865.1,Diaporthe sp. NJD1,Y,assembly_exact,fungi,Contig,GCA_013842865.1,na,Diaporthe sp. NJD1
GCA_016695485.1,Suillus hirtellus,Y,assembly_exact,fungi,Scaffold,GCA_016695485.1,na,Suillus hirtellus
GCA_017657105.1,Fusarium acaciae-mearnsii,Y,assembly_exact,fungi,Scaffold,GCA_017657105.1,na,Fusarium acaciae-mearnsii
GCA_018850275.1,Tephrocybe sp. 9174TJB,Y,assembly_exact,fungi,Scaffold,GCA_018850275.1,na,Tephrocybe sp. 9174TJB
GCA_021527465.2,Geoglossum glabrum,Y,assembly_exact,fungi,Scaffold,GCA_021527465.2,na,Geoglossum glabrum
GCA_022345685.2,Nothomitra cinnamomea,Y,assembly_exact,fungi,Scaffold,GCA_022345685.2,na,Nothomitra cinnamomea
GCA_022457215.2,Leucocoprinus gongylophorus,Y,assembly_versionless,fungi,Contig,GCA_022457215.3,na,Leucocoprinus gongylophorus
GCA_022539335.1,Xylaria cf. heliscus,Y,assembly_exact,fungi,Contig,GCA_022539335.1,na,Xylaria cf. heliscus
GCA_023212835.1,Pseudozyma thailandica,Y,assembly_exact,fungi,Scaffold,GCA_023212835.1,na,Pseudozyma thailandica
GCA_023853785.1,Psilocybe azurescens,Y,assembly_exact,fungi,Contig,GCA_023853785.1,na,Psilocybe azurescens
GCA_026367775.1,Exserohilum rostratum,Y,assembly_exact,fungi,Complete Genome,GCA_026367775.1,na,Exserohilum rostratum
GCA_026538395.1,Cryptococcus sp. GC_Crypt_3,Y,assembly_exact,fungi,Contig,GCA_026538395.1,na,Cryptococcus sp. GC_Crypt_3
GCA_026955015.1,Nowakowskiella sp. JEL0078,Y,assembly_exact,fungi,Scaffold,GCA_026955015.1,na,Nowakowskiella sp. JEL0078
GCA_027406125.1,Colletotrichum tropicale,Y,assembly_exact,fungi,Contig,GCA_027406125.1,na,Colletotrichum tropicale
GCA_027575385.1,Coemansia sp. RSA 2399,Y,assembly_exact,fungi,Contig,GCA_027575385.1,na,Coemansia sp. RSA 2399
GCA_027578655.1,Coemansia sp. RSA 1694,Y,assembly_exact,fungi,Scaffold,GCA_027578655.1,na,Coemansia sp. RSA 1694
GCA_027578995.1,Coemansia sp. IMI 209128,Y,assembly_exact,fungi,Scaffold,GCA_027578995.1,na,Coemansia sp. IMI 209128
GCA_028974045.1,Penicillium cf. viridicatum,Y,assembly_exact,fungi,Contig,GCA_028974045.1,na,Penicillium cf. viridicatum
GCA_029204085.1,Mycena sp. CBHHK59/15,Y,assembly_exact,fungi,Contig,GCA_029204085.1,na,Mycena sp. CBHHK59/15
GCA_029378395.1,Mycena leptocephala,Y,assembly_exact,fungi,Contig,GCA_029378395.1,na,Mycena leptocephala
GCA_030556285.1,Lipomyces yamadae,Y,assembly_exact,fungi,Scaffold,GCA_030556285.1,na,Lipomyces yamadae
GCA_030568095.1,Naumovozyma baii,Y,assembly_exact,fungi,Scaffold,GCA_030568095.1,na,Naumovozyma baii
GCA_030571995.1,Yamadazyma insecticola,Y,assembly_exact,fungi,Contig,GCA_030571995.1,na,Yamadazyma insecticola
GCA_030574275.1,Pichia sporocuriosa,Y,assembly_exact,fungi,Scaffold,GCA_030574275.1,na,Pichia sporocuriosa
GCA_032158425.1,Pleurotus giganteus,Y,assembly_exact,fungi,Contig,GCA_032158425.1,na,Pleurotus giganteus
GCA_033030345.1,Verpa bohemica,Y,assembly_exact,fungi,Contig,GCA_033030345.1,na,Verpa bohemica
GCA_033296975.1,Podospora aff. communis PSN243,Y,assembly_exact,fungi,Scaffold,GCA_033296975.1,na,Podospora aff. communis PSN243
GCA_033816765.1,Nothopassalora personata,Y,assembly_exact,fungi,Chromosome,GCA_033816765.1,na,Nothopassalora personata
GCA_036674765.1,Seiridium cupressi,Y,assembly_exact,fungi,Scaffold,GCA_036674765.1,na,Seiridium cupressi
GCA_036873115.1,Pseudodiploospora longispora,Y,assembly_exact,fungi,Scaffold,GCA_036873115.1,na,Pseudodiploospora longispora
GCA_036937075.1,Mycocalia duriaeana,Y,assembly_exact,fungi,Scaffold,GCA_036937075.1,na,Mycocalia duriaeana
GCA_038025025.1,Phyllosticta citribraziliensis,Y,assembly_exact,fungi,Contig,GCA_038025025.1,GCF_038025025.1,Phyllosticta citribraziliensis
GCA_038089575.1,Phylloporus pelletieri,Y,assembly_exact,fungi,Scaffold,GCA_038089575.1,na,Phylloporus pelletieri
GCA_038090875.1,Leccinum fallax,Y,assembly_exact,fungi,Scaffold,GCA_038090875.1,na,Leccinum fallax
GCA_038093035.1,Boletus nancyae,Y,assembly_exact,fungi,Scaffold,GCA_038093035.1,na,Boletus nancyae
GCA_038093245.1,Boletus holoroseus,Y,assembly_exact,fungi,Scaffold,GCA_038093245.1,na,Boletus holoroseus
GCA_900519075.1,Yarrowia bubula,Y,name_exact,fungi,,,,Yarrowia bubula
GCF_000006335.3,Candida tropicalis,Y,assembly_exact,fungi,Scaffold,GCA_000006335.3,GCF_000006335.3,Candida tropicalis MYA-3404
GCF_000143565.1,Laccaria bicolor,Y,assembly_exact,fungi,Scaffold,GCA_000143565.1,GCF_000143565.1,Laccaria bicolor S238N-H82
GCF_001831195.1,Colletotrichum orchidophilum,Y,assembly_exact,fungi,Scaffold,GCA_001831195.1,GCF_001831195.1,Colletotrichum orchidophilum
GCF_010093595.1,Mytilinidion resinicola,Y,assembly_exact,fungi,Scaffold,GCA_010093595.1,GCF_010093595.1,Mytilinidion resinicola
GCF_019456465.1,Bacidia gigantensis,Y,assembly_exact,fungi,Contig,GCA_019456465.1,GCF_019456465.1,Bacidia gigantensis
GCF_020509005.1,Fulvia fulva,Y,assembly_exact,fungi,Complete Genome,GCA_020509005.2,GCF_020509005.1,Fulvia fulva
GCF_900079805.1,Fusarium fujikuroi,Y,name_exact,fungi,,,,Fusarium fujikuroi
GCA_000697295.1,Mucor indicus,Y,assembly_exact,fungi,Contig,GCA_000697295.1,na,Mucor indicus B7402
GCA_001189435.1,Tolypocladium ophioglossoides,Y,assembly_exact,fungi,Scaffold,GCA_001189435.1,na,Tolypocladium ophioglossoides CBS 100239
GCA_001513835.1,Fusarium temperatum,Y,assembly_exact,fungi,Scaffold,GCA_001513835.1,na,Fusarium temperatum
GCA_001883825.1,Emergomyces pasteurianus,Y,assembly_exact,fungi,Scaffold,GCA_001883825.1,na,Emergomyces pasteurianus Ep9510
GCA_001936955.1,Pyricularia sp. MG12,Y,assembly_exact,fungi,Contig,GCA_001936955.1,na,Pyricularia sp. MG12
GCA_002072365.1,Penicillium flavigenum,Y,assembly_exact,fungi,Scaffold,GCA_002072365.1,na,Penicillium flavigenum
GCA_002242795.1,Byssochlamys sp. BYSS01,Y,assembly_exact,fungi,Scaffold,GCA_002242795.1,na,Byssochlamys sp. BYSS01
GCA_002287115.1,Auricularia heimuer,Y,assembly_exact,fungi,Scaffold,GCA_002287115.1,na,Auricularia heimuer
GCA_002370245.1,Metschnikowia sp. 04-226.1,Y,assembly_exact,fungi,Scaffold,GCA_002370245.1,na,Metschnikowia sp. 04-226.1
GCA_002374485.1,Metschnikowia santaceciliae,Y,assembly_exact,fungi,Scaffold,GCA_002374485.1,na,Metschnikowia santaceciliae
GCA_003671545.1,Ophiognomonia clavigignenti-juglandacearum,Y,assembly_exact,fungi,Scaffold,GCA_003671545.1,na,Ophiognomonia clavigignenti-juglandacearum
GCA_003707165.2,Phaffomyces opuntiae,Y,assembly_exact,fungi,Scaffold,GCA_003707165.2,na,Phaffomyces opuntiae
GCA_003717175.1,Protomyces macrosporus,Y,assembly_exact,fungi,Contig,GCA_003717175.1,na,Protomyces macrosporus
GCA_003987895.1,Neonothopanus nambi,Y,assembly_exact,fungi,Contig,GCA_003987895.1,na,Neonothopanus nambi
GCA_003988905.1,Hymenotorrendiella dingleyae,Y,assembly_exact,fungi,Scaffold,GCA_003988905.1,na,Hymenotorrendiella dingleyae
GCA_004114255.1,Acaulopage tetraceros,Y,assembly_exact,fungi,Scaffold,GCA_004114255.1,na,Acaulopage tetraceros
GCA_004296355.1,Lepiota venenata,Y,assembly_exact,fungi,Contig,GCA_004296355.1,na,Lepiota venenata
GCA_004367485.1,Fusarium citri,Y,assembly_exact,fungi,Scaffold,GCA_004367485.1,na,Fusarium citri
GCA_007825325.1,Lachnellula cervina,Y,assembly_exact,fungi,Contig,GCA_007825325.1,na,Lachnellula cervina
GCA_007896445.1,Puccinia hordei,Y,assembly_exact,fungi,Contig,GCA_007896445.1,na,Puccinia hordei
GCA_012977745.1,Fusarium anguioides,Y,assembly_exact,fungi,Scaffold,GCA_012977745.1,na,Fusarium anguioides
GCA_014334815.1,Pyrenophora teres,Y,assembly_exact,fungi,Complete Genome,GCA_014334815.1,na,Pyrenophora teres f. maculata
GCA_015852385.1,Podila clonocystis,Y,assembly_exact,fungi,Scaffold,GCA_015852385.1,na,Podila clonocystis
GCA_016618145.1,Sanghuangporus lonicericola,Y,assembly_exact,fungi,Scaffold,GCA_016618145.1,na,Sanghuangporus lonicericola
GCA_019677325.2,Pleurotus cornucopiae,Y,assembly_exact,fungi,Chromosome,GCA_019677325.2,na,Pleurotus cornucopiae
GCA_020881915.1,Paramyrothecium sp. XJ0827,Y,assembly_exact,fungi,Contig,GCA_020881915.1,na,Paramyrothecium sp. XJ0827
GCA_021527035.1,Lactarius vividus,Y,assembly_exact,fungi,Contig,GCA_021527035.1,na,Lactarius vividus
GCA_021642125.1,Nothophoma quercina,Y,assembly_versionless,fungi,Scaffold,GCA_021642125.2,na,Nothophoma quercina
GCA_022984865.1,Hypomontagnella submonticulosa,Y,assembly_exact,fungi,Contig,GCA_022984865.1,na,Hypomontagnella submonticulosa
GCA_023647555.1,Pancytospora philotis,Y,assembly_exact,fungi,Scaffold,GCA_023647555.1,na,Pancytospora philotis
GCA_023758005.1,Alternaria sp. BMP 0032,Y,assembly_exact,fungi,Scaffold,GCA_023758005.1,na,Alternaria sp. BMP 0032
GCA_024336345.1,Mariannaea sp. PMI_226,Y,assembly_exact,fungi,Contig,GCA_024336345.1,na,Mariannaea sp. PMI_226
GCA_024340155.1,Tolypocladium pustulatum,Y,assembly_exact,fungi,Scaffold,GCA_024340155.1,na,Tolypocladium pustulatum
GCA_025327125.1,Colletotrichum sp. SAR 10_86,Y,assembly_exact,fungi,Scaffold,GCA_025327125.1,na,Colletotrichum sp. SAR 10_86
GCA_025526995.1,Powellomyces hirtus,Y,assembly_exact,fungi,Contig,GCA_025526995.1,na,Powellomyces hirtus
GCA_027600675.1,Phlyctochytrium planicorne,Y,assembly_exact,fungi,Contig,GCA_027600675.1,na,Phlyctochytrium planicorne
GCA_029232285.1,Agmasoma sp. JBojko-2022a,Y,assembly_exact,fungi,Contig,GCA_029232285.1,na,Agmasoma carcini (nom. nud.)
GCA_030411845.1,Friedmanniomyces endolithicus,Y,assembly_exact,fungi,Scaffold,GCA_030411845.1,na,Friedmanniomyces endolithicus
GCA_030435655.1,Armillaria novae-zelandiae,Y,assembly_exact,fungi,Contig,GCA_030435655.1,na,Armillaria novae-zelandiae
GCA_030563945.1,Dipodascus australiensis,Y,assembly_exact,fungi,Scaffold,GCA_030563945.1,na,Dipodascus australiensis
GCA_030569235.1,Sugiyamaella qingdaonensis,Y,assembly_exact,fungi,Scaffold,GCA_030569235.1,na,Sugiyamaella qingdaonensis
GCA_030582235.1,[Candida] ponderosae,Y,assembly_exact,fungi,Scaffold,GCA_030582235.1,na,Ruyongia ponderosae
GCA_030685235.1,Copromyces sp. CBS 386.78,Y,assembly_exact,fungi,Scaffold,GCA_030685235.1,na,Copromyces sp. CBS 386.78
GCA_030705055.1,Kodamaea plutei,Y,assembly_exact,fungi,Contig,GCA_030705055.1,na,Kodamaea plutei
GCA_030705235.1,Spathaspora jeffriesii,Y,assembly_exact,fungi,Scaffold,GCA_030705235.1,na,Spathaspora jeffriesii
GCA_030864385.1,Cutaneotrichosporon sp. HIS471,Y,assembly_exact,fungi,Complete Genome,GCA_030864385.1,na,Cutaneotrichosporon sp. HIS471
GCA_031125705.1,Saccharomycopsis babjevae,Y,assembly_exact,fungi,Scaffold,GCA_031125705.1,na,Saccharomycopsis babjevae
