organism_name,assembly_id
Cyclostephanos tholiformis,GCA_036939975.1
Cyclotella atomus,GCA_036939935.1
Cyclotella baltica,GCA_036939635.1
Cyclotella cf. meneghiniana,GCA_036940065.1
Cyclotella choctawhatcheeana,GCA_036939855.1
Cyclotella cryptica,GCA_013187285.1
Cyclotella distinguenda,GCA_036939455.1
Cyclotella kingstonii,GCA_036939535.1
Cylindrotheca closterium,GCA_933822405.4
Cylindrotheca fusiformis,GCA_019693525.1
Cymathaere triplicata,GCA_035584555.1
Cystoisospora suis,GCA_002600585.1
Cytauxzoon felis,GCA_020283715.1
Detonula confervacea,GCA_036939415.1
Devaleraea mollis,GCA_032361265.1
Diacronema lutheri,GCA_019448385.1
Dictyostelium brefeldianum,GCA_013375695.1
Dictyostelium capitatum,GCA_015252635.1
Dictyostelium citrinum,GCA_000286055.1
Dictyostelium discoideum,GCF_000004695.1
Dictyostelium firmibasis,GCA_036169595.1
Dictyostelium gargantuum,GCA_015252675.1
Dictyostelium intermedium,GCA_000277465.1
Dictyostelium purpureum,GCF_000190715.1
Diophrys appendiculata,GCA_006510565.1
Diophrys sp. 3 WChen-2021,GCA_021441625.1
Diplodinium dentatum,GCA_023807165.1
Diplodinium flabellum,GCA_023806845.1
Diplonema japonicum,GCA_964019335.1
Diplonema papillatum,GCA_030068145.1
Discostella pseudostelligera,GCA_036940085.1
Discostella stelligera,GCA_036939735.1
Discostella stelligeroides,GCA_036939555.1
Durusdinium trenchii,GCA_963970005.1
Ectocarpus siliculosus,GCA_000310025.1
Ectocarpus sp. CCAP 1310/34,GCA_902602495.3
Effrenium voratum,GCA_963377175.1
Egregia menziesii,GCA_035584435.1
Eimeria acervulina,GCF_000499425.1
Eimeria brunetti,GCA_000499725.1
Eimeria falciformis,GCA_002271815.1
Eimeria maxima,GCF_000499605.1
Eimeria mitis,GCF_000499745.2
Eimeria necatrix,GCF_000499385.1
Eimeria nieschulzi,GCA_000826945.1
Eimeria praecox,GCA_963920595.1
Eimeria sp. OTU-X,GCA_904066255.1
Eimeria sp. OTU-Y,GCA_904066245.1
Eimeria tenella,GCF_000499545.2
Eimeria zaria,GCA_904066265.1
Elongisporangium anandrum,GCA_023337935.1
Elongisporangium prolatum,GCA_023335875.1
Elongisporangium senticosum,GCA_023335835.1
Elongisporangium undulatum,GCA_023334555.1
Emiliania huxleyi,GCF_000372725.1
Endocladia muricata,GCA_032356245.1
Endotrypanum monterogeii,GCA_000333855.2
Enoploplastron triloricatum,GCA_023783335.1
Entamoeba dispar,GCF_000209125.1
Entamoeba histolytica,GCF_000208925.1
Entamoeba invadens,GCF_000330505.1
Entamoeba moshkovskii,GCA_002914575.1
Entamoeba nuttalli,GCF_000257125.1
Entodinium bursa,GCA_023807345.1
Entodinium caudatum,GCA_002087855.3
Entodinium longinucleatum,GCA_023897235.1
Epidinium cattanei,GCA_023805625.1
Epidinium caudatum,GCA_023807225.1
Epipyxis sp. PR26KG,GCA_015144975.1
Epithemia pelagica,GCA_946965045.2
Eremoplastron rostratum,GCA_023805755.1
Euglena gracilis,GCA_900893395.1
Euplotes aediculatus,GCA_030463445.1
Euplotes cf. woodruffi 2 WChen-2021,GCA_021441665.1
Euplotes focardii,GCA_001880345.2
Euplotes parawoodruffi,GCA_021440025.1
Euplotes weissei,GCA_021440005.1
Euplotes woodruffi,GCA_027382605.1
Eutreptiella sp. 'Long Island Sound 2002',GCA_964036045.1
Fabrea salina,GCA_022984795.1
Fistulifera pelliculosa,GCA_026008555.1
Fistulifera solaris,GCA_030295235.1
Flectonema sp. DT1601,GCA_964019425.1
Fonticula alba,GCF_000388065.1
Fragilaria crotonensis,GCA_022925895.1
Fragilaria radians,GCA_900642245.1
Fragilariopsis cylindrus,GCA_900095095.1
Galdieria partita,GCA_025991245.1
Galdieria phlegrea,GCA_006232345.1
Galdieria sulphuraria,GCF_000341285.1
Galdieria yellowstonensis,GCA_026122205.1
Giardia duodenalis,GCF_000002435.2
Giardia muris,GCA_006247105.1
Globisporangium abappressorium,GCA_023334355.1
Globisporangium acanthophoron,GCA_023334365.1
Globisporangium alternatum,GCA_023334315.1
Globisporangium apiculatum,GCA_023337825.1
Globisporangium barbulae,GCA_023337805.1
Globisporangium camurandrum,GCA_023337595.1
Globisporangium canariense,GCA_023334305.1
Globisporangium carolinianum,GCA_023334275.1
Globisporangium cederbergense,GCA_023334245.1
Globisporangium cylindrosporum,GCA_038050675.1
Globisporangium cystogenes,GCA_023334215.1
Globisporangium echinulatum,GCA_023336405.1
Globisporangium emineosum,GCA_023334195.1
Globisporangium heterothallicum,GCA_023334155.1
Globisporangium irregulare,GCA_038051095.1
Globisporangium iwayamae,GCA_023336215.1
Globisporangium lucens,GCA_023336175.1
Globisporangium mamillatum,GCA_038050575.1
Globisporangium megalacanthum,GCA_023334115.1
Globisporangium middletonii,GCA_023334085.1
Globisporangium nagaii,GCA_023335995.1
Globisporangium nodosum,GCA_023334105.1
Globisporangium nunn,GCA_023334075.1
Globisporangium okanoganense,GCA_023334035.1
Globisporangium orthogonon,GCA_023334005.1
Globisporangium paddicum,GCA_023334015.1
Globisporangium paroecandrum,GCA_023333955.1
Globisporangium parvum,GCA_023333885.1
Globisporangium perplexum,GCA_023333865.1
Globisporangium polare,GCA_023333845.1
Globisporangium radiosum,GCA_023333825.1
Globisporangium recalcitrans,GCA_023333815.1
Globisporangium rhizosaccharum,GCA_023333795.1
Globisporangium solare,GCA_023335675.1
